Session,Monkey,COPcount,PRcount,MRcount,FollowTime,Age,AgeYears,AgeClass,Group,BlueLUM,BlueB/Y,BlueR/G,RedLUM,RedB/Y,RedR/G,COP,PR,MR,Elo,Ordinal,Prevalence,Richness,#Parasitesamples,#Hormonesamples,GCMEAN,ARMEAN
P2,DBY,2,2,0,375,56,4.666666667,SAM,MA,0.208431785,0.120258236,-0.052177146,0.074384977,-0.216166181,0.078035938,0.31999998,0.31999998,0,742,7,1,2,4,4,27.98924,45.53408
P2,JLY,3,1,0,375,85,7.416666667,YAM,KS,0.263807646,0.132031748,-0.068306238,0.102498188,-0.122421756,0.083243855,0.48,0.16000002,0,1388,2,1,5,3,3,32.92963749,57.42957122
P2,KWI,0,0,0,480,49,4.5,SAM,KS,0.170706164,0.100149975,-0.039522751,0.114414526,-0.166241102,0.10662453,0,0,0,709,6,1,4,4,4,46.36399497,43.16332791
P2,LEK,7,1,2,375,104,6.416666667,YAM,MA,0.207105917,0.127507475,-0.06867876,0.083786228,-0.099608433,0.112780003,1.12000002,0.16000002,0.31999998,1340,2,0.83,3,6,5,56.9400893,64.64570759
P2,OTS,2,1,0,405,92,7.583333333,YAM,KS,0.326503883,0.07377309,-0.054221988,0.126737097,-0.113255958,0.094611706,0.29629632,0.14814816,0,1504,1,1,3,4,7,35.97553542,61.11299376
P2,PCO,1,0,0,375,64,5.25,SAM,MA,0.223507595,0.249138046,-0.075054283,0.109954635,-0.116131469,0.116420398,0.16000002,0,0,894,5,1,3,4,3,42.48388008,44.09809561
P2,PKN,1,0,0,405,52,4.25,SAM,MA,0.298501318,0.024194015,-0.050111097,0.11163223,-0.224514905,0.13813925,0.14814816,0,0,695,1,0.88,3,8,6,29.51827872,46.81875797
P2,POT,1,0,0,315,38,3.25,SAM,KS,0.16765243,0.035756696,-0.015539898,0.209796606,-0.158438122,0.058036662,0.19047618,0,0,638,7,0.5,2,2,1,78.66,116.41
P2,RSL,0,0,0,345,55,4.416666667,SAM,MA,0.296153982,0.076986162,-0.060726944,0.165939505,-0.085516622,0.066120702,0,0,0,719,8,0.8,4,5,4,33.52623168,26.77539802
P2,SPT,0,0,0,420,88,7.666666667,YAM,MA,0.408724968,0.072897072,-0.041032078,0.113005159,-0.162105783,0.102812325,0,0,0,1162,3,1,3,7,6,48.45163415,64.01821745
P2,TRO,3,0,1,390,99,7.666666667,YAM,MA,0.37149606,0.061141662,-0.057339896,0.139633192,-0.171040484,0.110184739,0.46153848,0,0.15384618,1410,1,1,3,6,5,59.52920674,53.82107724
P2,VCN,1,0,0,420,97,5.416666667,YAM,MA,0.33007192,0.103004705,-0.058003777,0.168000973,-0.123095535,0.075773428,0.14285712,0,0,1142,4,1,4,4,5,62.11777304,56.38437255
