Session,Monkey,Age,Group,BlueLUM,BlueBY,BlueRG,RedLUM,RedBY,RedRG,Elo,Ordinal,Prevalence,Richness,GCMEAN,ARMEAN,Session,Monkey,Age,Group,BlueLUM,BlueBY,BlueRG,RedLUM,RedBY,RedRG,Elo,Ordinal,Prevalence,Richness,GCMEAN,ARMEAN,BLUMST,BBYST,BRGST,RLUMST,RBYST,RRGST,ELOST,ORDST,PREVST,RCHST,GCST,ARST
1,VCN,97,MA,0.33007192,0.103004705,-0.058003777,0.168000973,-0.123095535,0.075773428,1142,4,1,4,62.11777304,56.38437255,2,VCN ,100,MA,0.313910355,0.083369726,-0.059922643,0.181989676,-0.153494605,0.074132325,1052,4,1,2,5.34,28,-0.025096289,-0.105352322,0.016271723,0.039968791,0.109906557,-0.010947565,-0.041020966,0,0,-0.333333333,-0.841678734,-0.336370014
1,SPT,89,MA,0.408724968,0.072897072,-0.041032078,0.113005159,-0.162105783,0.102812325,1162,3,1,3,48.45163415,64.01821745,2,SPT,92,MA,0.406905957,0.040596809,-0.036177166,0.163798958,-0.139729698,0.08857615,1143,3,1,2,48.45163415,64.01821745,-0.002230189,-0.284599164,-0.062879927,0.18350088,-0.07413338,-0.074383661,-0.00824295,0,0,-0.2,0,0
1,LEK,104,MA,0.207105917,0.127507475,-0.06867876,0.083786228,-0.099608433,0.112780003,1340,2,0.83,3,56.9400893,64.64570759,2,LEK,107,MA,0.287584319,0.045246405,-0.058667965,0.079923771,-0.156398404,0.121375127,1619,1,1,2,62.15963405,84.7115977,0.162684436,-0.476174949,-0.078610541,-0.023593287,0.2218299,0.036706964,0.094288611,-0.333333333,0.092896175,-0.2,0.043824995,0.134348233
1,TRO,100,MA,0.37149606,0.061141662,-0.057339896,0.139633192,-0.171040484,0.110184739,1410,1,1,3,59.52920674,53.82107724,2,TRO,103,MA,0.33686519,0.068112185,-0.064742938,0.161655658,-0.111113291,0.085234107,1315,2,0.88,3,61.59513331,65.91132461,-0.048888714,0.053928943,0.060639499,0.073094196,-0.212391959,-0.127677717,-0.034862385,0.333333333,-0.063829787,0,0.017056246,0.100977239
1,VNL,99,MA,0.272351494,0.035435964,-0.053022844,0.239289367,-0.064351554,0.079515544,806,6,0.67,1,101.4841965,131.0310757,2,VNL ,102,MA,0.347542314,0.024573284,-0.049687596,0.177400927,-0.129375943,0.109478275,746,5,0.8,3,67.72835422,48.31053842,0.12129629,-0.181016772,-0.032472339,-0.148523833,0.335648737,0.158538151,-0.038659794,-0.090909091,0.088435374,0.5,-0.199487817,-0.461245638
1,DBY,69,MA,0.208431785,0.120258236,-0.052177146,0.074384977,-0.216166181,0.078035938,742,7,1,2,27.98924,45.53408,2,DBY ,72,MA,0.214756847,0.133438459,-0.061699664,0.126924666,-0.263078825,0.135419344,655,6,1,2,44.25333,70.3338,0.0149462,0.051952679,0.083621222,0.26098943,0.097888644,0.268831043,-0.062276306,-0.076923077,0,0,0.225131664,0.214034468
1,OTS,92,KS,0.326503883,0.07377309,-0.054221988,0.126737097,-0.113255958,0.094611706,1504,1,1,3,35.97553542,61.11299376,2,OTS ,95,KS,0.31041393,0.059945285,-0.054788466,0.131952524,-0.145345295,0.104556651,1462,1,0.5,3,21.1700907,36.79505325,-0.025262212,-0.103409909,0.005196547,0.020160944,0.124088096,0.049932354,-0.014160486,0,-0.333333333,0,-0.259082728,-0.2483753
1,JLY,86,KS,0.263807646,0.132031748,-0.068306238,0.102498188,-0.122421756,0.083243855,1388,2,1,5,32.92963749,57.42957122,2,JLY ,89,KS,0.302738847,0.120874964,-0.06826856,0.11647752,-0.179920615,0.094283299,1436,2,1,5,35.62901611,61.52677949,0.068716692,-0.044114227,-0.000275878,0.063839647,0.190177972,0.062184538,0.016997167,0,0,0,0.039373274,0.034442955
1,ZCN,61,KS,0.372870073,0.016977139,-0.035255479,0.175779819,-0.063701804,0.102948018,1067,4,0.5,1,21.18645927,31.5197597,2,ZCN ,64,KS,0.263660769,0.022580206,-0.047823085,0.10766929,-0.178529979,0.122322725,1236,4,0.67,2,20.35959995,35.40929592,-0.17156954,0.141644161,0.151273755,-0.240291914,0.474042562,0.086006319,0.073382545,0,0.145299145,0.333333333,-0.019902232,0.058114315
1,VPR,103,KS,0.193647717,0.113482021,-0.059921398,0.116786822,-0.180463069,0.086667118,1300,3,1,4,32.93271069,51.40260917,2,VPR ,106,KS,0.328813621,0.1252957,-0.068863213,0.138722578,-0.135724105,0.089916858,1228,5,0.8,3,45.39750053,54.15618483,0.258709868,0.049475633,0.069432325,0.085851072,-0.141495189,0.018403369,-0.028481013,0.25,-0.111111111,-0.142857143,0.159131319,0.026085706
